GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED
120,11219,N1L,196.0,3.0,913,91.33333333333333,3,1
120,10329,L6P,196.0,2.0,890,88.33333333333333,2,1
119,10329,L6P,196.0,3.0,845,83.66666666666667,1,0
119,10593,L0R,196.0,1.0,963,95.5,1,1
120,10587,M1W,196.0,5.0,927,91.66666666666667,5,1
120,11021,L9T,196.0,3.0,928,90.5,3,1
120,10327,M2N,196.0,3.0,932,93.16666666666667,3,1
120,10252,L5R,196.0,1.0,945,91.33333333333333,1,1
120,10779,L7A,196.0,3.0,942,91.33333333333333,3,1
119,10974,K2L,196.0,3.0,908,90.16666666666667,3,1
119,10532,M6P,196.0,3.0,960,96.0,3,1
120,11181,N7S,196.0,1.0,928,91.0,1,1
120,11129,L2N,196.0,2.0,902,89.33333333333333,2,1
120,11110,M2N,196.0,3.0,900,90.0,3,1
120,10277,K7M,196.0,1.0,900,89.5,1,1
120,10611,L2S,196.0,2.0,888,88.16666666666667,2,1
120,10402,K2K,196.0,6.0,917,91.66666666666667,6,1
120,10315,,196.0,5.0,880,87.5,5,1
120,10744,N0R,196.0,1.0,982,95.83333333333333,1,1
119,10304,,196.0,7.0,842,83.33333333333333,1,0
120,10407,L9Z,196.0,1.0,888,88.0,1,1
120,10327,M2N,196.0,2.0,892,89.16666666666667,2,1
120,10407,L9Y,196.0,4.0,895,89.16666666666667,4,1
120,10532,M6P,196.0,2.0,897,89.66666666666667,2,1
120,10327,M2N,196.0,3.0,895,89.5,3,1
120,10516,L4H,196.0,2.0,910,88.33333333333333,2,1
120,10234,K0K,196.0,3.0,923,92.16666666666667,3,1
120,10265,L4C,196.0,1.0,928,90.83333333333333,1,1
119,10233,,196.0,4.0,907,90.66666666666667,4,1
119,11225,L5J,196.0,1.0,915,91.5,4,0
120,11022,K8H,196.0,2.0,888,88.83333333333333,2,1
119,10751,L7E,196.0,1.0,893,87.66666666666667,1,1
119,11026,M9A,196.0,2.0,987,97.33333333333333,2,1
120,10327,M2J,196.0,2.0,925,91.33333333333333,2,1
120,11207,M2N,196.0,4.0,853,84.5,3,0
120,11233,L6C,196.0,2.0,882,88.16666666666667,2,1
119,10634,K1T,196.0,3.0,907,90.66666666666667,3,1
120,10301,L5M,196.0,3.0,967,94.33333333333333,3,1
120,10455,L1C,196.0,3.0,897,89.66666666666667,3,1
120,10302,L6M,196.0,2.0,892,88.83333333333333,2,1
120,10982,L2E,196.0,1.0,897,89.66666666666667,1,1
120,10669,N7T,196.0,2.0,875,87.5,2,1
120,10831,K8N,196.0,2.0,927,90.0,2,1
120,11094,L6M,196.0,2.0,893,89.33333333333333,2,1
120,10429,L6H,196.0,1.0,882,88.16666666666667,1,1
119,10316,L4Z,196.0,1.0,917,90.66666666666667,1,1
119,10960,L6M,196.0,3.0,972,96.33333333333333,5,0
119,10807,M5M,196.0,2.0,928,87.66666666666667,7,0
120,10474,L6M,196.0,3.0,895,88.0,3,1
120,10960,L6M,196.0,3.0,903,90.33333333333333,3,1
120,11238,,196.0,1.0,935,93.5,1,1
119,10962,L1B,196.0,2.0,913,90.5,2,1
120,11021,L9T,196.0,3.0,923,91.33333333333333,3,1
120,10557,L6L,196.0,3.0,872,87.16666666666667,3,1
120,10703,N6P,196.0,3.0,888,88.83333333333333,3,1
119,11030,M5G,196.0,5.0,897,88.66666666666667,5,1
120,10268,N2N,196.0,3.0,902,86.5,3,1
119,10505,L0R,196.0,2.0,885,88.0,2,1
120,10857,N6C,196.0,2.0,987,98.5,2,1
119,11030,L6P,196.0,1.0,930,91.16666666666667,1,1
119,10895,P0R,196.0,4.0,992,97.66666666666667,4,1
120,10779,L6Z,196.0,1.0,890,88.16666666666667,1,1
120,10466,L4H,196.0,3.0,927,91.5,3,1
120,11061,L6Z,196.0,2.0,960,93.33333333333333,2,1
120,10888,L4H,196.0,4.0,915,91.5,4,1
120,10698,M4H,196.0,5.0,927,89.0,5,1
120,10480,L6A,196.0,7.0,897,74.0,7,1
119,10827,K0K,196.0,3.0,917,89.33333333333333,3,1
119,10228,L6J,196.0,8.0,883,88.33333333333333,8,1
120,10995,L9C,196.0,1.0,908,90.83333333333333,1,1
120,11082,M1L,196.0,7.0,880,87.33333333333333,1,0
120,10476,L8S,196.0,2.0,928,92.0,2,1
120,11011,L7S,196.0,1.0,957,95.66666666666667,1,1
120,10719,M5M,196.0,3.0,887,88.66666666666667,2,0
120,10476,L9A,196.0,3.0,858,83.0,1,0
120,10698,M4H,196.0,2.0,932,92.16666666666667,2,1
120,11021,L9T,196.0,2.0,897,87.16666666666667,2,1
120,10423,L9C,196.0,2.0,945,75.83333333333333,2,1
120,10327,M5E,196.0,10.0,913,90.5,10,1
