GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
120,10523,N5P,196.0,1.0,903,89.5,2,0,135.109
119,10440,M4R,196.0,1.0,888,86.83333333333333,1,1,91.6
119,10648,K8N,196.0,1.0,925,91.66666666666667,1,1,256.089
119,11238,,196.0,2.0,877,86.5,2,1,
119,11082,M1W,196.0,4.0,867,86.66666666666667,4,0,90.18
120,11186,K0G,196.0,2.0,883,88.33333333333333,2,1,401.465
120,10283,P3G,196.0,1.0,973,97.16666666666667,1,1,435.047
120,10881,P6A,196.0,2.0,910,90.5,2,1,734.777
120,11194,L4B,196.0,1.0,900,90.0,1,1,95.795
119,11068,N9H,196.0,1.0,868,85.66666666666667,1,1,299.41
120,11233,L4S,196.0,3.0,967,96.66666666666667,3,1,104.717
120,10538,P4P,196.0,1.0,933,90.83333333333333,1,1,745.155
120,10598,L9G,196.0,1.0,887,88.8,1,1,15.182
120,10756,N9A,196.0,1.0,915,89.83333333333333,1,1,304.056
120,10740,L0A,196.0,1.0,950,94.16666666666667,1,1,182.823
119,10405,L2A,196.0,1.0,862,83.5,1,1,112.88
119,10217,M9N,196.0,5.0,857,85.16666666666667,2,0,69.301
120,10436,L2V,196.0,1.0,947,91.83333333333333,1,1,80.7
119,10304,,196.0,4.0,905,89.0,3,0,
120,10304,,196.0,2.0,912,91.16666666666667,2,1,
120,11113,M1W,196.0,1.0,868,86.83333333333333,1,1,90.18
120,10302,L6M,196.0,3.0,872,87.16666666666667,3,1,29.132
120,10316,L4Z,196.0,2.0,893,85.83333333333333,2,1,50.891
119,10781,L6M,196.0,4.0,937,93.16666666666667,4,1,29.132
120,10212,K6V,196.0,1.0,955,98.0,1,1,405.341
119,10469,P1L,196.0,4.0,983,98.33333333333333,4,1,238.548
120,10909,L5W,196.0,1.0,852,97.0,1,1,58.552
120,10737,N1E,196.0,1.0,915,91.5,1,1,50.384
120,11041,L8L,196.0,6.0,927,84.2,1,0,7.135
120,10304,,196.0,1.0,950,95.0,1,1,
120,10831,K8P,196.0,2.0,927,88.16666666666667,2,1,253.935
120,11049,L8E,196.0,1.0,885,88.5,1,1,34.328
119,10827,K7R,196.0,2.0,945,94.33333333333333,2,1,289.514
120,10913,M1S,196.0,2.0,857,85.66666666666667,2,1,92.454
120,10752,P1H,196.0,1.0,915,91.5,1,1,273.473
120,10372,M9B,196.0,2.0,885,86.83333333333333,2,1,57.793
120,11093,L6H,196.0,1.0,867,86.66666666666667,1,1,35.959
119,10909,L9T,196.0,4.0,930,98.0,4,1,36.861
120,10598,L9B,196.0,1.0,880,88.0,1,1,14.672
120,10872,K2A,196.0,3.0,893,87.5,3,1,509.41
120,11132,L9T,196.0,1.0,888,88.83333333333333,1,1,36.861
120,10926,L5K,196.0,2.0,920,91.16666666666667,2,1,41.652
120,10884,P2N,196.0,2.0,895,89.5,2,1,639.439
119,10324,L9T,196.0,1.0,898,96.0,1,1,36.861
120,11043,L7G,196.0,2.0,930,91.5,2,1,58.494
120,10672,L4S,196.0,2.0,850,85.0,2,1,104.717
120,10839,L3R,196.0,1.0,905,88.5,6,0,101.274
120,10557,L6L,196.0,1.0,955,94.0,1,1,26.523
119,10812,L3X,196.0,1.0,945,94.0,1,1,117.408
120,10648,K8N,196.0,1.0,960,94.16666666666667,1,1,256.089
120,11054,M5V,196.0,2.0,935,92.83333333333333,2,1,66.4
119,11048,M1M,196.0,3.0,897,87.33333333333333,3,1,82.826
119,11005,L5A,196.0,2.0,883,87.0,2,1,49.237
120,10748,K0M,196.0,2.0,903,90.33333333333333,2,1,267.329
119,10331,L5M,196.0,1.0,872,83.33333333333333,1,1,44.036
120,10866,L2N,196.0,1.0,957,95.66666666666667,1,1,69.576
119,10452,N0A,196.0,3.0,950,94.0,2,0,44.386
120,11054,M4G,196.0,3.0,907,90.16666666666667,3,1,79.543
120,11105,L3R,196.0,1.0,898,89.16666666666667,1,1,101.274
120,10558,L6A,196.0,3.0,875,87.5,3,1,93.662
120,10269,N3R,196.0,2.0,882,85.33333333333333,2,1,38.046
119,11164,L2S,196.0,3.0,917,90.16666666666667,3,1,72.9
120,11005,L5G,196.0,2.0,890,88.33333333333333,1,0,48.897
120,11079,M4W,196.0,3.0,868,86.83333333333333,1,0,78.844
120,11059,L6M,196.0,1.0,978,97.0,1,1,29.132
120,10780,L6Y,196.0,2.0,907,89.0,2,1,56.209
120,10616,N6C,196.0,2.0,882,86.33333333333333,2,1,124.695
120,11130,M1S,196.0,1.0,910,91.0,1,1,92.454
120,11135,M2J,196.0,1.0,902,89.33333333333333,1,1,85.743
120,10662,K7P,196.0,2.0,900,90.0,2,1,322.041
120,10429,L6H,196.0,1.0,927,92.66666666666667,1,1,35.959
120,10215,L9C,196.0,1.0,873,86.66666666666667,1,1,6.603
119,10215,L9B,196.0,4.0,948,90.5,4,1,14.672
119,10239,L4C,196.0,1.0,902,89.33333333333333,1,1,96.7
120,11164,L2S,196.0,3.0,908,89.16666666666667,5,0,72.9
119,10781,L6M,196.0,2.0,927,91.0,6,0,29.132
120,11180,M1P,196.0,4.0,875,85.33333333333333,2,0,91.207
120,10528,N1G,196.0,1.0,868,86.83333333333333,1,1,47.319
120,10747,M6H,196.0,1.0,968,96.16666666666667,1,1,65.926
120,11020,L9B,196.0,3.0,960,95.16666666666667,3,1,14.672
120,10243,L7A,196.0,2.0,908,90.83333333333333,2,1,63.292
119,10248,L6Y,196.0,2.0,913,90.33333333333333,2,1,56.209
120,10813,L7M,196.0,2.0,848,83.66666666666667,1,0,21.165
119,10780,L5M,196.0,3.0,912,90.0,3,1,44.036
120,10947,M2N,196.0,4.0,882,87.33333333333333,4,1,80.095
119,10316,L5M,196.0,5.0,928,90.0,5,1,44.036
120,10668,M1K,196.0,1.0,917,91.66666666666667,1,1,94.663
120,10400,L5A,196.0,1.0,910,89.5,1,1,49.237
120,10272,L4X,196.0,3.0,880,88.0,3,1,53.046
120,10873,M1X,196.0,2.0,897,86.83333333333333,2,1,101.118
120,10638,N3T,196.0,1.0,895,88.0,1,1,30.2
120,10232,M2N,196.0,4.0,870,84.0,6,0,80.095
119,10252,L5N,196.0,1.0,932,93.0,1,1,47.066
119,11209,L9H,196.0,1.0,938,91.33333333333333,2,0,4.295
119,10869,M8W,196.0,3.0,923,92.16666666666667,3,1,53.149
120,10495,L8L,196.0,1.0,897,89.66666666666667,1,1,7.135
120,10302,L6M,196.0,2.0,903,89.66666666666667,2,1,29.132
119,10859,N6C,196.0,2.0,938,91.83333333333333,2,1,124.695
120,10386,M6B,196.0,1.0,885,86.0,1,1,76.784
120,10764,L3M,196.0,1.0,898,89.83333333333333,1,1,44.362
120,11093,L5M,196.0,2.0,943,92.5,2,1,44.036
120,10580,K0H,196.0,2.0,930,91.83333333333333,2,1,339.69
120,10835,L4G,196.0,1.0,927,92.33333333333333,1,1,119.227
120,10370,N5X,196.0,1.0,915,90.16666666666667,1,1,132.204
120,11000,L3T,196.0,2.0,925,92.5,2,1,96.043
120,10557,L6L,196.0,3.0,873,87.33333333333333,3,1,26.523
120,10788,L8K,196.0,1.0,975,97.16666666666667,7,0,12.637
120,11185,N5A,196.0,2.0,870,87.2,2,1,105.998
119,11158,M9A,196.0,1.0,928,92.83333333333333,1,1,61.478
119,11110,M6A,196.0,1.0,912,88.5,1,0,74.86
120,11117,M1W,196.0,3.0,915,90.83333333333333,3,1,90.18
120,10487,K2W,196.0,3.0,875,85.5,3,1,458.958
120,11015,L1V,196.0,2.0,902,89.16666666666667,2,1,105.068
120,10851,L6M,196.0,3.0,917,88.33333333333333,3,1,29.132
119,10327,L6E,196.0,2.0,920,91.0,3,0,108.667
119,10400,L5A,196.0,2.0,860,86.0,3,0,49.237
120,10424,N0P,196.0,1.0,925,96.0,1,1,236.071
119,10829,M1L,196.0,3.0,885,88.5,3,1,82.955
119,10429,L6H,196.0,2.0,910,87.16666666666667,2,1,35.959
119,10812,L0G,196.0,1.0,978,96.83333333333333,1,1,111.191
120,11011,L7L,196.0,4.0,903,88.66666666666667,4,1,21.04
119,10228,L6L,196.0,7.0,990,98.16666666666667,7,1,26.523
119,11041,L8L,196.0,1.0,970,97.0,4,0,7.135
120,11015,L1P,196.0,2.0,915,90.66666666666667,2,1,122.728
120,11011,L7R,196.0,1.0,887,88.33333333333333,1,1,17.022
120,10400,L4Y,196.0,1.0,877,86.33333333333333,1,1,53.716
120,10978,M2H,196.0,4.0,893,88.66666666666667,4,1,86.654
