GEND,SCHOOL,ZIP3,CONFUNI,CONFCHOIC,WAVERG2,AVG,PREF,ACCEPTED,DIST
119,11219,N3A,192.0,3.0,708,70.83333333333333,2,0,82.268
119,11219,N3A,192.0,4.0,645,64.5,2,0,82.268
120,11219,N3A,191.0,2.0,860,86.0,4,0,82.268
120,11219,N3A,178.0,3.0,893,89.33333333333333,4,0,82.268
120,10297,N0J,178.0,1.0,877,87.0,2,0,93.401
120,11238,L8S,181.0,3.0,820,82.0,1,0,0.836
120,10526,M4A,178.0,1.0,863,86.33333333333333,5,0,112.0
120,11148,L5L,175.0,3.0,882,83.33333333333333,1,0,43.375
120,11144,M3A,178.0,2.0,902,90.16666666666667,1,0,84.442
120,10424,N0R,179.0,1.0,833,87.0,2,0,300.974
119,10711,L9W,178.0,1.0,913,91.33333333333333,3,0,120.785
120,10246,M5A,194.0,1.0,950,95.0,6,0,70.198
120,10451,N2G,178.0,4.0,802,80.16666666666667,1,0,2.2
120,10350,L4C,178.0,1.0,880,86.5,2,0,96.7
119,10350,L4S,178.0,1.0,975,97.33333333333333,3,0,104.717
120,10278,M1V,194.0,1.0,897,89.66666666666667,3,0,94.52
120,10334,L4N,,,952,97.0,1,0,149.33
120,10309,,178.0,1.0,903,90.16666666666667,5,0,
120,10387,M4R,191.0,1.0,908,88.33333333333333,2,0,91.6
120,10962,L0B,179.0,3.0,842,84.16666666666667,2,0,165.539
120,10246,M6H,194.0,2.0,847,84.66666666666667,3,0,65.926
120,10830,N0K,178.0,1.0,873,87.33333333333333,2,0,123.468
120,10996,M8Z,194.0,2.0,945,94.5,4,0,56.791
120,11168,K1G,191.0,2.0,830,76.5,3,0,527.401
120,10528,N1G,194.0,1.0,958,95.83333333333333,4,0,47.319
120,11145,N6A,177.0,3.0,863,81.5,1,0,129.213
119,10246,N2L,194.0,1.0,947,94.66666666666667,4,0,74.62
119,10996,M8Z,194.0,1.0,950,95.0,2,0,56.791
120,10711,L9W,197.0,3.0,762,76.16666666666667,1,0,120.785
120,11145,N6A,178.0,1.0,912,91.16666666666667,3,0,129.213
120,11145,N6A,178.0,4.0,937,93.66666666666667,1,0,129.213
120,10740,K9V,193.0,1.0,778,77.83333333333333,2,0,203.459
119,10535,L4C,178.0,2.0,990,99.0,1,0,96.7
120,10541,N0P,177.0,1.0,868,76.16666666666667,3,0,236.071
120,11059,L0R,,,897,89.4,1,0,58.645
119,11058,M1B,194.0,1.0,913,89.66666666666667,4,0,97.319
120,10318,L2N,,,900,89.66666666666667,3,0,69.576
120,11145,N6A,178.0,1.0,888,88.83333333333333,3,0,129.213
120,11145,N6A,178.0,1.0,932,93.16666666666667,5,0,129.213
120,11145,N6A,178.0,1.0,957,95.66666666666667,5,0,129.213
120,11145,N6A,194.0,1.0,952,95.16666666666667,3,0,129.213
120,11145,N6A,,,935,93.5,4,0,129.213
120,11145,N6A,178.0,1.0,870,83.33333333333333,4,0,129.213
119,11145,N6A,178.0,2.0,887,86.83333333333333,3,0,129.213
119,10759,N2Z,191.0,2.0,973,97.16666666666667,3,0,206.18
120,11144,M2H,194.0,3.0,888,88.83333333333333,2,0,86.654
120,10503,N0E,181.0,1.0,802,77.83333333333333,3,0,78.822
120,10503,N0E,178.0,1.0,972,95.16666666666667,3,0,78.822
119,10996,M8Z,178.0,1.0,968,95.16666666666667,3,0,56.791
120,11145,N6A,194.0,1.0,845,83.83333333333333,3,0,129.213
120,10992,M4R,178.0,1.0,853,85.33333333333333,4,0,91.6
120,10546,N5A,178.0,1.0,935,89.0,3,0,105.998
120,11022,K8A,191.0,3.0,883,88.0,4,0,451.686
120,11199,K1V,199.0,1.0,867,86.66666666666667,4,0,502.648
119,11177,K8N,191.0,1.0,880,86.66666666666667,2,0,256.089
120,10370,N6C,179.0,1.0,805,80.5,3,0,124.695
120,10258,L3C,178.0,1.0,870,91.0,2,0,89.2
120,10529,K0K,191.0,1.0,848,84.83333333333333,2,0,273.902
120,11158,M4T,191.0,1.0,858,84.83333333333333,3,0,79.178
120,11188,N2N,190.0,7.0,0,75.0,2,0,70.053
120,10849,K0A,191.0,1.0,885,85.0,2,0,517.127
120,10724,N3R,181.0,2.0,702,70.16666666666667,3,0,38.046
120,10505,L0R,,,0,54.8,4,0,58.645
119,11022,K8H,,,977,95.16666666666667,2,0,455.787
120,10683,P2A,,,938,93.83333333333333,2,0,277.914
119,10302,L6M,178.0,1.0,930,92.66666666666667,3,0,29.132
120,10990,K9L,,,965,95.0,3,0,210.091
120,11225,L6M,191.0,4.0,818,79.66666666666667,9,0,29.132
120,11225,L4W,178.0,1.0,848,83.0,5,0,54.851
119,10322,,178.0,2.0,825,82.5,4,0,
120,10486,N0H,,,915,91.5,3,0,198.367
120,11020,L8K,178.0,3.0,822,82.16666666666667,2,0,12.637
120,11177,K8N,,,898,89.83333333333333,2,0,256.089
120,10745,N0G,178.0,1.0,913,91.33333333333333,3,0,136.481
119,11058,M4S,178.0,1.0,950,94.16666666666667,6,0,79.974
120,10228,L6J,178.0,1.0,925,92.0,4,0,36.619
120,10341,L5M,191.0,3.0,830,83.0,1,0,44.036
120,10322,,,,862,84.66666666666667,4,0,
119,11166,L1N,,,862,82.66666666666667,3,0,122.939
120,10333,P4N,178.0,1.0,912,89.66666666666667,2,0,743.517
120,11229,M3H,197.0,1.0,832,82.83333333333333,6,0,77.395
120,11054,M9R,194.0,7.0,900,90.0,11,0,64.777
120,10628,N0H,190.0,5.0,762,76.16666666666667,9,0,198.367
119,11020,L8J,,,693,71.2,1,0,27.328
120,10708,L3V,179.0,2.0,935,93.5,7,0,185.795
119,11011,L7P,181.0,3.0,810,81.0,2,0,12.341
120,10606,L0R,191.0,1.0,963,95.83333333333333,3,0,58.645
120,10228,L6L,194.0,1.0,913,91.33333333333333,2,0,26.523
120,10999,L4C,190.0,4.0,890,89.0,3,0,96.7
119,10215,L9B,178.0,1.0,858,83.83333333333333,4,0,14.672
120,10929,K0J,191.0,1.0,965,92.66666666666667,2,0,428.536
120,10628,N0H,181.0,1.0,708,70.83333333333333,2,0,198.367
120,10215,L9C,190.0,2.0,797,79.66666666666667,3,0,6.603
120,11164,L2J,194.0,1.0,903,90.33333333333333,4,0,82.8
120,11164,M5G,194.0,1.0,917,89.83333333333333,4,0,69.209
120,11229,M2L,178.0,1.0,842,83.33333333333333,3,0,82.967
120,10957,L1B,199.0,3.0,870,85.33333333333333,1,0,150.0
119,11185,N5A,178.0,1.0,892,88.16666666666667,4,0,105.998
120,10516,M9P,194.0,4.0,858,84.83333333333333,3,0,66.487
120,10410,L5M,199.0,2.0,795,78.33333333333333,1,0,44.036
120,10759,N2Z,179.0,2.0,852,83.83333333333333,3,0,206.18
120,11011,L7N,193.0,1.0,832,83.16666666666667,4,0,19.322
120,11112,M2N,178.0,1.0,850,85.0,7,0,80.095
120,10215,L9B,,,858,85.66666666666667,1,0,14.672
120,10215,L9C,,,678,67.4,2,0,6.603
120,10215,L8W,,,802,80.16666666666667,1,0,18.526
120,10773,L9H,194.0,1.0,932,92.83333333333333,2,0,4.295
120,10291,M9M,190.0,1.0,908,85.0,4,0,68.176
120,11043,L7G,,,887,86.0,2,0,58.494
119,10512,M3N,190.0,1.0,823,79.0,3,0,73.962
120,10731,L9G,190.0,1.0,768,74.16666666666667,3,0,15.182
120,11209,L0R,194.0,2.0,942,94.0,5,0,58.645
120,11043,L7G,194.0,1.0,885,88.5,3,0,58.494
120,10277,K0H,193.0,7.0,880,85.0,4,0,339.69
120,10548,N5A,179.0,1.0,872,86.16666666666667,5,0,105.998
120,10918,M9B,199.0,2.0,857,85.66666666666667,1,0,57.793
120,10233,K9K,191.0,1.0,857,85.33333333333333,2,0,201.097
120,11054,M8X,178.0,1.0,872,86.0,5,0,61.649
120,10551,L0M,179.0,3.0,898,82.16666666666667,2,0,153.369
120,10775,N3W,,,735,73.5,1,0,28.402
120,10233,333,190.0,7.0,740,74.0,6,0,
120,11166,L1N,199.0,2.0,845,84.16666666666667,4,0,122.939
120,10625,N6K,179.0,1.0,873,87.33333333333333,3,0,140.592
120,10214,L7L,178.0,1.0,837,82.16666666666667,3,0,21.04
120,10548,N5A,177.0,4.0,690,69.0,1,0,105.998
120,10410,L5H,194.0,1.0,933,92.33333333333333,3,0,46.357
120,10592,N0K,178.0,1.0,870,84.5,2,0,123.468
120,10651,L3K,178.0,1.0,882,87.5,3,0,105.956
120,11149,M6M,194.0,6.0,923,92.33333333333333,9,0,73.17
120,10238,K8P,194.0,2.0,928,92.0,3,0,253.935
120,11166,,,,853,85.33333333333333,3,0,
